"_id",cam_id,entry_count,exit_count,processed_timestamp,timestamp,video_file
5bb0ba554b56539202102236,179,,1,2018-09-30T11:58:11.946Z,2018-09-30T06:17:53.000Z,2018-09-30T06-17-53.mp4
5bb0bba14b565392021025a3,180,,1,2018-09-30T12:03:43.355Z,2018-09-30T06:20:51.000Z,2018-09-30T06-20-51.mp4
5bb0bcc24b5653920210290c,179,,4,2018-09-30T12:09:29.402Z,2018-09-30T06:26:15.000Z,2018-09-30T06-26-15.mp4
5bb0bf344b56539202103107,179,,1,2018-09-30T12:18:58.843Z,2018-09-30T06:36:18.000Z,2018-09-30T06-36-18.mp4
5bb0c5944b56539202104502,180,,1,2018-09-30T12:46:10.666Z,2018-09-30T06:56:10.000Z,2018-09-30T06-56-10.mp4
5bb0c82c4b56539202104f7d,180,2,3,2018-09-30T12:58:29.085Z,2018-09-30T07:05:31.000Z,2018-09-30T07-05-31.mp4
5bb0c8df4b5653920210529f,179,1,,2018-09-30T13:00:13.841Z,2018-09-30T07:07:34.000Z,2018-09-30T07-07-34.mp4
5bb0cefb4b56539202106cb3,201,2,,2018-10-01T12:08:37.724Z,2018-09-30T06:05:19.000Z,2018-09-30T06-05-19.mp4
5bb0d0704b56539202106f6d,208,,1,2018-10-01T12:15:21.798Z,2018-09-30T06:04:03.000Z,2018-09-30T06-04-03.mp4
5bb0d3424b5653920210754e,172,2,1,2018-10-01T12:42:10.580Z,2018-09-30T06:15:00.000Z,2018-09-30T06-15-00.mp4
5bb0d9394b5653920210d6d3,180,1,,2018-09-30T14:09:59.903Z,2018-09-30T08:45:01.000Z,2018-09-30T08-45-01.mp4
5bb0dc9c4b56539202115f09,180,2,2,2018-09-30T14:33:53.904Z,2018-09-30T09:00:02.000Z,2018-09-30T09-00-02.mp4
5bb0e1df4b565392022005ad,180,,1,2018-09-30T14:46:53.442Z,2018-09-30T09:15:00.000Z,2018-09-30T09-15-00.mp4
5bb0e6384b565392023580d3,180,,2,2018-09-30T15:13:08.812Z,2018-09-30T09:30:00.000Z,2018-09-30T09-30-00.mp4
5bb0fb074b56539202963ca1,179,,1,2018-09-30T16:34:13.426Z,2018-09-30T07:32:57.000Z,2018-09-30T07-32-57.mp4
5bb10f3a4b56539202f0c10b,179,2,,2018-09-30T18:05:52.491Z,2018-09-30T08:16:21.000Z,2018-09-30T08-16-21.mp4
5bb124d84b565392024e8075,179,1,,2018-09-30T19:32:38.792Z,2018-09-30T08:45:01.000Z,2018-09-30T08-45-01.mp4
5bb168984b56539202716bfb,179,1,,2018-10-01T00:21:42.831Z,2018-09-30T09:30:02.000Z,2018-09-30T09-30-02.mp4
5bb1942b4b565392022b12bc,180,,2,2018-10-01T04:10:18.657Z,2018-09-30T12:30:01.000Z,2018-09-30T12-30-01.mp4
5bb1b1764b56539202ab28c2,180,1,2,2018-10-01T05:53:35.821Z,2018-09-30T12:45:03.000Z,2018-09-30T12-45-03.mp4
5bb1be134b56539202e24be5,180,2,3,2018-10-01T06:50:57.325Z,2018-09-30T13:01:38.000Z,2018-09-30T13-01-38.mp4
5bb1d1af4b565392023700d1,180,5,5,2018-10-01T08:32:46.459Z,2018-09-30T13:15:00.000Z,2018-09-30T13-15-00.mp4
5bb1e8004b56539202968a59,180,5,4,2018-10-01T09:49:37.810Z,2018-09-30T13:30:01.000Z,2018-09-30T13-30-01.mp4
5bb1f4f34b56539202cd1166,179,5,4,2018-10-01T10:28:29.912Z,2018-09-30T10:34:21.000Z,2018-09-30T10-34-21.mp4
5bb216724b565392021aa212,179,1,3,2018-10-01T12:55:36.536Z,2018-09-30T11:00:00.000Z,2018-09-30T11-00-00.mp4
5bb223504b565392021abb03,179,4,7,2018-10-01T13:53:19.842Z,2018-09-30T11:15:01.000Z,2018-09-30T11-15-01.mp4
5bb2319c4b565392021ae66c,179,3,5,2018-10-01T15:00:21.118Z,2018-09-30T11:30:01.000Z,2018-09-30T11-30-01.mp4
5bb240de4b565392021b1554,179,2,,2018-10-01T15:44:33.210Z,2018-09-30T11:45:01.000Z,2018-09-30T11-45-01.mp4
5bb24f114b565392021b4e89,179,2,2,2018-10-01T17:02:20.432Z,2018-09-30T12:00:02.000Z,2018-09-30T12-00-02.mp4
5bb2c35c4b565392021c6c1e,179,1,1,2018-10-02T01:08:10.564Z,2018-09-30T14:30:00.000Z,2018-09-30T14-30-00.mp4
5bb34ca14b565392021d7fb0,179,,1,2018-10-02T10:46:56.536Z,2018-09-30T17:45:02.000Z,2018-09-30T17-45-02.mp4
5bb357534b565392021d93a0,179,1,,2018-10-02T11:32:34.623Z,2018-09-30T18:00:01.000Z,2018-09-30T18-00-01.mp4
5bb3a07e4b565392021e1f32,180,1,,2018-10-02T16:44:45.763Z,2018-09-30T22:45:00.000Z,2018-09-30T22-45-00.mp4
5bb3c0854b565392021e62b7,180,1,,2018-10-02T19:01:24.469Z,2018-09-30T23:45:01.000Z,2018-09-30T23-45-01.mp4
5bb3ca494b565392021e74a7,180,2,1,2018-10-02T19:52:17.100Z,2018-10-01T00:00:02.000Z,2018-10-01T00-00-02.mp4
5bb3ea1b4b565392021eab9c,180,2,1,2018-10-02T22:05:12.812Z,2018-10-01T00:45:00.000Z,2018-10-01T00-45-00.mp4
5bb3f5724b565392021ec2e1,180,1,,2018-10-02T22:47:13.286Z,2018-10-01T01:00:00.000Z,2018-10-01T01-00-00.mp4
5bb400e14b565392021edc05,180,,1,2018-10-02T23:36:00.527Z,2018-10-01T01:15:01.000Z,2018-10-01T01-15-01.mp4
5bb411a64b565392021ef99d,180,4,3,2018-10-03T00:55:23.383Z,2018-10-01T01:45:00.000Z,2018-10-01T01-45-00.mp4
5bb4171f4b565392021f0d02,179,,2,2018-10-03T01:13:04.541Z,2018-09-30T22:45:00.000Z,2018-09-30T22-45-00.mp4
5bb41b734b565392021f187c,180,1,,2018-10-03T01:29:22.448Z,2018-10-01T02:00:00.000Z,2018-10-01T02-00-00.mp4
5bb41fd54b565392021f226e,179,1,,2018-10-03T01:48:04.666Z,2018-09-30T23:00:01.000Z,2018-09-30T23-00-01.mp4
5bb424974b565392021f2d6d,180,2,1,2018-10-03T02:13:21.855Z,2018-10-01T02:15:00.000Z,2018-10-01T02-15-00.mp4
5bb42ecc4b565392021f457e,180,8,1,2018-10-03T02:58:33.857Z,2018-10-01T02:30:01.000Z,2018-10-01T02-30-01.mp4
5bb436e74b565392021f597d,180,2,3,2018-10-03T03:39:12.185Z,2018-10-01T02:45:00.000Z,2018-10-01T02-45-00.mp4
5bb442774b565392021f7527,180,,1,2018-10-03T04:15:49.997Z,2018-10-01T03:00:01.000Z,2018-10-01T03-00-01.mp4
5bb44c894b565392021f9e3c,180,2,,2018-10-03T04:58:50.442Z,2018-10-01T03:15:00.000Z,2018-10-01T03-15-00.mp4
5bb4529f4b565392021faae4,179,1,2,2018-10-03T05:27:06.506Z,2018-10-01T00:15:00.000Z,2018-10-01T00-15-00.mp4
5bb456a84b565392021fb3cd,180,1,,2018-10-03T05:41:58.676Z,2018-10-01T03:30:01.000Z,2018-10-01T03-30-01.mp4
5bb467984b565392021fd961,180,3,2,2018-10-03T07:04:53.635Z,2018-10-01T04:00:01.000Z,2018-10-01T04-00-01.mp4
5bb46d8a4b565392021fe8f3,179,,2,2018-10-03T07:19:38.970Z,2018-10-01T01:00:00.000Z,2018-10-01T01-00-00.mp4
5bb477b14b56539202200404,179,1,,2018-10-03T08:02:55.529Z,2018-10-01T01:15:01.000Z,2018-10-01T01-15-01.mp4
5bb47cd64b56539202200e9f,180,1,,2018-10-03T08:24:52.686Z,2018-10-01T04:30:01.000Z,2018-10-01T04-30-01.mp4
5bb481594b5653920220161c,179,1,1,2018-10-03T08:48:13.017Z,2018-10-01T01:30:01.000Z,2018-10-01T01-30-01.mp4
5bb48bb64b56539202202c32,179,1,1,2018-10-03T09:30:00.077Z,2018-10-01T01:45:00.000Z,2018-10-01T01-45-00.mp4
5bb495734b5653920220450c,179,1,5,2018-10-03T10:32:31.584Z,2018-10-01T02:00:00.000Z,2018-10-01T02-00-00.mp4
5bb49dd64b56539202206086,180,4,,2018-10-03T10:56:06.854Z,2018-10-01T05:15:01.000Z,2018-10-01T05-15-01.mp4
5bb4a4fc4b5653920220777b,179,,3,2018-10-03T11:21:25.882Z,2018-10-01T02:15:02.000Z,2018-10-01T02-15-02.mp4
5bb4b4fb4b5653920220a4af,180,1,,2018-10-03T12:24:25.608Z,2018-10-01T05:45:00.000Z,2018-10-01T05-45-00.mp4
5bb4bb854b5653920220b45f,179,4,1,2018-10-03T13:04:44.165Z,2018-10-01T02:45:00.000Z,2018-10-01T02-45-00.mp4
5bb4c2214b5653920220c40a,180,,1,2018-10-03T13:20:31.985Z,2018-10-01T06:00:02.000Z,2018-10-01T06-00-02.mp4
5bb4cda84b5653920220d8d8,180,3,,2018-10-03T14:14:16.335Z,2018-10-01T06:15:01.000Z,2018-10-01T06-15-01.mp4
5bb4d2c64b5653920220e408,179,2,2,2018-10-03T14:33:11.811Z,2018-10-01T03:15:00.000Z,2018-10-01T03-15-00.mp4
5bb4d7674b56539202219abd,179,1,,2018-10-03T14:51:18.111Z,2018-10-01T03:30:00.000Z,2018-10-01T03-30-00.mp4
5bb4dd354b5653920221ae88,180,3,2,2018-10-03T15:23:28.097Z,2018-10-01T06:30:02.000Z,2018-10-01T06-30-02.mp4
5bb4e5de4b5653920221bf31,179,1,,2018-10-03T15:53:01.011Z,2018-10-01T03:45:00.000Z,2018-10-01T03-45-00.mp4
5bb4edef4b5653920221d19e,180,2,2,2018-10-03T16:36:06.247Z,2018-10-01T06:45:02.000Z,2018-10-01T06-45-02.mp4
5bb4f3894b5653920221dd31,179,1,1,2018-10-03T16:58:16.967Z,2018-10-01T04:15:00.000Z,2018-10-01T04-15-00.mp4
5bb4f9b34b5653920221e8f2,180,2,2,2018-10-03T17:24:06.336Z,2018-10-01T07:00:01.000Z,2018-10-01T07-00-01.mp4
5bb507be4b56539202220422,179,1,2,2018-10-03T18:22:35.518Z,2018-10-01T04:45:00.000Z,2018-10-01T04-45-00.mp4
5bb5121a4b56539202221690,179,4,6,2018-10-03T19:18:56.975Z,2018-10-01T05:00:02.000Z,2018-10-01T05-00-02.mp4
5bb5202d4b56539202223df7,179,,3,2018-10-03T20:08:44.939Z,2018-10-01T05:15:01.000Z,2018-10-01T05-15-01.mp4
5bb524da4b56539202224693,180,,1,2018-10-03T20:21:44.163Z,2018-10-01T08:00:00.000Z,2018-10-01T08-00-00.mp4
5bb52a524b5653920222500b,179,,1,2018-10-03T20:45:05.004Z,2018-10-01T05:30:01.000Z,2018-10-01T05-30-01.mp4
5bb52ee64b56539202225790,180,2,5,2018-10-03T21:17:20.028Z,2018-10-01T08:15:00.000Z,2018-10-01T08-15-00.mp4
5bb535b54b565392022269a6,179,5,6,2018-10-03T21:39:51.041Z,2018-10-01T05:45:00.000Z,2018-10-01T05-45-00.mp4
5bb53cb74b565392022278ae,180,,1,2018-10-03T22:03:34.050Z,2018-10-01T08:30:01.000Z,2018-10-01T08-30-01.mp4
5bb5420b4b565392022282c3,179,2,1,2018-10-03T22:31:28.933Z,2018-10-01T06:00:02.000Z,2018-10-01T06-00-02.mp4
5bb555034b5653920222a5f5,179,,1,2018-10-03T23:47:13.158Z,2018-10-01T06:30:02.000Z,2018-10-01T06-30-02.mp4
5bb557b94b5653920222ac50,180,,1,2018-10-03T23:58:47.331Z,2018-10-01T09:15:00.000Z,2018-10-01T09-15-00.mp4
5bb55ced4b5653920222b72e,179,5,3,2018-10-04T00:34:59.965Z,2018-10-01T06:45:02.000Z,2018-10-01T06-45-02.mp4
5bb568734b5653920222d13f,179,1,2,2018-10-04T01:15:33.263Z,2018-10-01T07:00:00.000Z,2018-10-01T07-00-00.mp4
5bb5736e4b5653920222eb8f,179,,3,2018-10-04T02:00:38.871Z,2018-10-01T07:15:02.000Z,2018-10-01T07-15-02.mp4
5bb57a1c4b5653920222fa4f,179,3,3,2018-10-04T02:35:51.482Z,2018-10-01T07:30:00.000Z,2018-10-01T07-30-00.mp4
5bb582404b56539202230b3b,180,3,1,2018-10-04T03:15:41.300Z,2018-10-01T10:15:00.000Z,2018-10-01T10-15-00.mp4
5bb58c4c4b56539202231cd7,179,2,3,2018-10-04T03:55:22.679Z,2018-10-01T07:45:01.000Z,2018-10-01T07-45-01.mp4
5bb598bd4b5653920223387b,180,1,1,2018-10-04T04:38:35.298Z,2018-10-01T10:30:02.000Z,2018-10-01T10-30-02.mp4
5bb5a0a54b5653920223ce0e,180,,2,2018-10-04T05:27:27.559Z,2018-10-01T10:45:02.000Z,2018-10-01T10-45-02.mp4
5bb5ac6f4b5653920223e4a7,179,,1,2018-10-04T06:00:13.425Z,2018-10-01T08:00:00.000Z,2018-10-01T08-00-00.mp4
5bb5b17a4b5653920223ed53,180,4,9,2018-10-04T06:59:48.055Z,2018-10-01T11:00:00.000Z,2018-10-01T11-00-00.mp4
5bb5bfd64b56539202240b89,179,12,22,2018-10-04T08:05:39.337Z,2018-10-01T08:15:02.000Z,2018-10-01T08-15-02.mp4
5bb5ce244b56539202243761,180,2,4,2018-10-04T08:52:37.342Z,2018-10-01T11:15:00.000Z,2018-10-01T11-15-00.mp4
5bb5db954b56539202245763,179,10,11,2018-10-04T09:47:27.236Z,2018-10-01T08:30:01.000Z,2018-10-01T08-30-01.mp4
5bb5f28c4b56539202249390,180,1,1,2018-10-04T11:04:41.649Z,2018-10-01T11:30:00.000Z,2018-10-01T11-30-00.mp4
5bb5fb1a4b5653920224a2ed,179,1,2,2018-10-04T11:44:59.546Z,2018-10-01T08:45:00.000Z,2018-10-01T08-45-00.mp4
5bb603974b5653920224b4c7,180,,3,2018-10-04T12:39:43.380Z,2018-10-01T11:45:00.000Z,2018-10-01T11-45-00.mp4
5bb611374b5653920224d502,179,2,,2018-10-04T13:12:38.566Z,2018-10-01T09:00:00.000Z,2018-10-01T09-00-00.mp4
5bb621374b5653920224f0e4,180,,2,2018-10-04T14:18:39.363Z,2018-10-01T12:00:00.000Z,2018-10-01T12-00-00.mp4
5bb65f8a4b565392022568f4,180,1,2,2018-10-04T19:23:24.040Z,2018-10-01T12:45:01.000Z,2018-10-01T12-45-01.mp4
5bb686024b5653920225b9fd,180,1,,2018-10-04T21:28:33.697Z,2018-10-01T13:00:02.000Z,2018-10-01T13-00-02.mp4
5bb7075f4b5653920228397b,180,1,1,2018-10-05T06:45:53.667Z,2018-10-01T15:15:02.000Z,2018-10-01T15-15-02.mp4
5bb70ee54b56539202284ade,179,,1,2018-10-05T07:12:36.889Z,2018-10-01T12:45:02.000Z,2018-10-01T12-45-02.mp4
5bb715524b5653920228551a,179,,1,2018-10-05T07:40:01.607Z,2018-10-01T13:00:01.000Z,2018-10-01T13-00-01.mp4
5bb74da44b5653920229902d,179,2,3,2018-10-05T11:41:10.151Z,2018-10-01T14:45:02.000Z,2018-10-01T14-45-02.mp4
5bb7702f4b5653920229d7b6,179,1,1,2018-10-05T14:08:54.963Z,2018-10-01T15:50:44.000Z,2018-10-01T15-50-44.mp4
5bb7e33a4b565392022a8764,180,1,2,2018-10-05T22:19:41.945Z,2018-10-01T22:30:02.000Z,2018-10-01T22-30-02.mp4
5bb7ef784b565392022a9c0b,180,1,,2018-10-05T23:10:47.710Z,2018-10-01T23:00:01.000Z,2018-10-01T23-00-01.mp4
5bb7fb764b565392022ab046,180,1,,2018-10-06T00:01:57.145Z,2018-10-01T23:30:02.000Z,2018-10-01T23-30-02.mp4
5bb80acd4b565392022acaf8,180,1,1,2018-10-06T01:09:39.844Z,2018-10-02T00:00:00.000Z,2018-10-02T00-00-00.mp4
5bb8128d4b565392022ad854,180,1,1,2018-10-06T01:40:51.166Z,2018-10-02T00:15:00.000Z,2018-10-02T00-15-00.mp4
5bb819c94b565392022ae42e,180,1,,2018-10-06T02:11:19.915Z,2018-10-02T00:30:01.000Z,2018-10-02T00-30-01.mp4
5bb821464b565392022af0a0,179,1,3,2018-10-06T02:48:52.676Z,2018-10-01T21:45:01.000Z,2018-10-01T21-45-01.mp4
5bb831bd4b565392022b0e17,180,1,,2018-10-06T03:53:32.560Z,2018-10-02T01:15:00.000Z,2018-10-02T01-15-00.mp4
5bb8380f4b565392022b1a38,180,,1,2018-10-06T04:20:30.715Z,2018-10-02T01:30:02.000Z,2018-10-02T01-30-02.mp4
5bb83d714b565392022b24ac,180,2,1,2018-10-06T04:45:00.229Z,2018-10-02T01:45:01.000Z,2018-10-02T01-45-01.mp4
5bb844154b565392022b3208,180,2,,2018-10-06T05:11:52.167Z,2018-10-02T02:00:00.000Z,2018-10-02T02-00-00.mp4
5bb84dbf4b565392022b438a,179,,1,2018-10-06T05:53:02.067Z,2018-10-01T23:30:03.000Z,2018-10-01T23-30-03.mp4
